"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.122241917E0,-9.810860753E-1,-1.308680415E0,1.037751675E0,1.937034552E0
1.132184917E0,-8.113560081E-1,-1.041699052E0,1.086863756E0,1.710177859E0
1.142126917E0,-7.502188683E-1,-7.060005069E-1,1.108263493E0,1.513113689E0
1.152069917E0,-8.035151958E-1,-4.770792723E-1,1.081711650E0,1.429454930E0
1.162011917E0,-8.891389966E-1,-3.339543343E-1,1.002994180E0,1.381336663E0
1.171954917E0,-9.522626996E-1,-2.481683046E-1,9.281741381E-1,1.352737590E0
1.181896917E0,-1.014102340E0,-2.703766823E-1,8.474212289E-1,1.348936561E0
1.191839917E0,-1.027587414E0,-4.415101707E-1,7.793040276E-1,1.363151456E0
1.201781917E0,-1.029728770E0,-7.282157540E-1,7.100437284E-1,1.447342952E0
1.211724917E0,-9.779652357E-1,-1.073198915E0,6.383569837E-1,1.586086867E0
1.221666917E0,-9.100602269E-1,-1.403544307E0,5.534074903E-1,1.761932487E0
1.231609917E0,-9.562551379E-1,-1.606870890E0,4.160971940E-1,1.915618652E0
1.241552917E0,-1.065370321E0,-1.529630661E0,2.136415541E-1,1.876279988E0
1.251494917E0,-1.033646584E0,-1.336538315E0,9.352264553E-2,1.692189827E0
1.261437917E0,-9.293513298E-1,-1.014597535E0,8.020151407E-2,1.378235951E0
1.271379917E0,-8.180443048E-1,-7.436079979E-1,7.600346580E-3,1.105534760E0
1.281322917E0,-6.753960848E-1,-4.875605404E-1,-6.557932496E-2,8.355691472E-1
1.291264917E0,-5.094473362E-1,-3.346478641E-1,-1.395652443E-1,6.253033174E-1
1.301207917E0,-3.116410673E-1,-3.551949561E-1,-1.804916412E-1,5.058268915E-1
1.311149917E0,-1.637835652E-1,-4.935792089E-1,-2.172185332E-1,5.635861804E-1
1.321092917E0,-8.956764638E-2,-6.971275210E-1,-2.580051124E-1,7.487160890E-1
1.331034917E0,-4.562973976E-2,-8.840377927E-1,-3.117040694E-1,9.384904469E-1
1.340977917E0,3.465098143E-2,-9.162538052E-1,-3.720241189E-1,9.895067817E-1
1.350920917E0,1.639813781E-1,-7.317798734E-1,-4.025484324E-1,8.511385997E-1
1.360862917E0,2.171615213E-1,-6.267359853E-1,-4.462908506E-1,7.994577193E-1
1.370805917E0,2.329803109E-1,-4.925922751E-1,-4.860111475E-1,7.301601265E-1
1.380747917E0,2.327488810E-1,-2.943308353E-1,-5.045866966E-1,6.288166797E-1
1.390690917E0,1.921564490E-1,-1.090786904E-1,-5.306143165E-1,5.747815363E-1
1.400632917E0,1.457692385E-1,8.017698675E-2,-5.217592716E-1,5.476401717E-1
1.410575917E0,1.202008277E-1,2.509413660E-1,-4.871745706E-1,5.610337515E-1
