Time,aron_Arm_2_X (rad/s),aron_Arm_2_Y (rad/s),aron_Arm_2_Z (rad/s),aron_Arm_2_X (m/s^2),aron_Arm_2_Y (m/s^2),aron_Arm_2_Z (m/s^2),aron_Been_2_X (rad/s),aron_Been_2_Y (rad/s),aron_Been_2_Z (rad/s),aron_Been_2_X (m/s^2),aron_Been_2_Y (m/s^2),aron_Been_2_Z (m/s^2),aron_2_Distance (meters),aron_2_Pace (seconds),aron_Arm_1_HR (bpm)
00:03:45.700,0.09008719994,0.7524158239300001,-0.53072486818,2.394944687,6.8068850099,5.2156639709,-0.11748075037899999,0.005852946448000001,-0.31443061531,-7.936690566999999,-5.9907371979,-0.317175430295,695.3,155.3,170.0
00:03:45.800,-1.1941388547100003,-0.256834588355,0.08574508578,2.2811812590799994,5.229315582299999,11.342468215699999,-0.13433933558,-0.027575821335799992,-0.2878893882,-7.3015313874,-6.2669278563,-0.27834617615,695.3,155.3,170.0
00:03:45.900,-0.20650038265019996,-0.1787857529577,-0.014787015891999983,1.9775227203499999,3.1102771454000004,6.628545867899999,-0.12435034958999999,-0.07012690603499999,-0.21958565265000002,-7.554999298199999,-6.3633573302999995,-0.38598733522,695.3,155.3,170.0
00:03:46.000,-0.04942763452958,0.6492368787599998,-0.096961448352,3.3529375305,3.6063755036,9.003806487999999,-0.06822166145,-0.0233971834701,-0.19423564375,-7.5464670409000005,-6.4055246430000015,-0.41893382262600004,695.3,155.3,170.0
00:03:46.100,0.15623875735,1.01719593424,0.22849886268999997,1.9980450440000002,3.2347133788,8.7548591766,-0.04059966992340001,-0.130751933897,-0.22422468364,-7.342396408099999,-6.898539413500001,-0.18390756226000002,695.3,155.3,170.0
00:03:46.200,0.7781612962699999,1.5052223089,0.73500854374,1.95089309681,1.29365483101,7.8770545806,-0.137753418091,-0.117846941954,-0.18740516379,-6.443440796,-6.6263304747000005,-0.165959884637,695.3,155.3,170.0
00:03:46.300,1.7876623869,2.6661407232,2.1918128489999997,-1.26102268968,-0.4264781342459999,7.7825710604,-0.10718138887499999,0.0248326040108,-0.085754871363,-7.784696639799999,-6.232304855299999,-0.66973727417,695.3,155.3,170.0
00:03:46.400,2.1053263544000003,2.1178230644000005,2.8829943178999997,-4.622088317899999,6.45369447394,7.657131912300001,0.014034419135600001,0.024956473905729998,0.017127836868599998,-8.012524233727273,-5.585090290181818,-0.6447229281272727,695.3,155.3,170.0
00:03:46.500,1.8569061159,1.10869891648,2.7056075334000003,-1.3531860351199998,10.947484588,6.3832359924,0.11247829124200001,-0.15412713411350001,0.0586210574941,-8.348065109100002,-5.704562301599999,-0.86811973572,695.3,155.3,170.0
00:03:46.600,1.6404367326,-0.082142025224,2.1570772528999997,1.4791041870239998,10.919283234999998,4.0810534058,0.1419666993414,-0.1586857753199,0.136032751201,-9.6226945045,-4.2873693695,-1.0976973266,695.3,155.3,170.0
00:03:46.700,1.25184938913,-0.268451333793,1.00095034382,1.5294744416000001,9.4998000642,3.3880545044000003,0.30270197540000005,0.31652223916,0.39702014029,-9.309979797599999,-2.7632537839999998,-0.53140992737,695.3,155.3,170.0
00:03:46.800,-0.021116174018000023,-0.24132682755399992,-0.10081070643099999,3.100119934333333,9.971480865111111,2.8654412843333334,0.003935387826999995,0.31758395881999996,0.72955044508,-9.931666993,-2.5620272368999997,-0.47318101510000005,695.3,155.3,170.0
